fips,year,Total Amount
1001,2000,0
1001,2001,0
1001,2002,8
1001,2003,2
1001,2004,0
1001,2005,6
1001,2006,0
1001,2007,11
1001,2008,0
1001,2009,0
1001,2010,0
1001,2011,0
1001,2012,8
1001,2013,0
1001,2014,0
1001,2015,1
1001,2016,0
1001,2017,12
1001,2018,1
1001,2019,0
1001,2020,1
1001,2021,1
1003,2000,0
1003,2001,0
1003,2002,11
1003,2003,12
1003,2004,13
1003,2005,0
1003,2006,5
1003,2007,1
1003,2008,3
1003,2009,0
1003,2010,1
1003,2011,1
1003,2012,18
1003,2013,0
1003,2014,2
1003,2015,6
1003,2016,4
1003,2017,1
1003,2018,9
1003,2019,2
1003,2020,2
1003,2021,3
1005,2000,0
1005,2001,0
1005,2002,2
1005,2003,0
1005,2004,0
1005,2005,0
1005,2006,0
1005,2007,1
1005,2008,0
1005,2009,0
1005,2010,0
1005,2011,0
1005,2012,0
1005,2013,0
1005,2014,0
1005,2015,0
1005,2016,0
1005,2017,3
1005,2018,0
1005,2019,0
1005,2020,0
1005,2021,0
1007,2000,0
1007,2001,2
1007,2002,13
1007,2003,9
1007,2004,2
1007,2005,0
1007,2006,3
1007,2007,0
1007,2008,9
1007,2009,0
1007,2010,0
1007,2011,4
1007,2012,7
1007,2013,1
1007,2014,0
1007,2015,0
1007,2016,3
1007,2017,13
1007,2018,5
1007,2019,0
1007,2020,2
1007,2021,1
1009,2000,0
1009,2001,2
1009,2002,8
1009,2003,7
1009,2004,0
1009,2005,0
1009,2006,3
1009,2007,1
1009,2008,6
1009,2009,0
1009,2010,0
1009,2011,3
1009,2012,5
1009,2013,0
1009,2014,0
1009,2015,0
1009,2016,2
1009,2017,6
1009,2018,2
1009,2019,0
1009,2020,1
1009,2021,1
1011,2000,0
1011,2001,0
1011,2002,7
1011,2003,3
1011,2004,0
1011,2005,5
1011,2006,0
1011,2007,12
1011,2008,0
1011,2009,0
1011,2010,0
1011,2011,0
1011,2012,7
1011,2013,0
1011,2014,0
1011,2015,0
1011,2016,0
1011,2017,7
1011,2018,1
1011,2019,0
1011,2020,0
1011,2021,1
1013,2000,0
1013,2001,0
1013,2002,0
1013,2003,2
1013,2004,0
1013,2005,0
1013,2006,0
1013,2007,0
1013,2008,0
1013,2009,0
1013,2010,0
1013,2011,0
1013,2012,2
1013,2013,0
1013,2014,0
1013,2015,1
1013,2016,0
1013,2017,1
1013,2018,0
1013,2019,0
1013,2020,0
1013,2021,0
1015,2000,0
1015,2001,0
1015,2002,1
1015,2003,1
1015,2004,0
1015,2005,0
1015,2006,0
1015,2007,0
1015,2008,1
1015,2009,0
1015,2010,0
1015,2011,0
1015,2012,0
1015,2013,1
1015,2014,0
1015,2015,0
1015,2016,0
1015,2017,2
1015,2018,0
1015,2019,0
1015,2020,0
1015,2021,0
1017,2000,0
1017,2001,0
1017,2002,0
1017,2003,0
1017,2004,0
1017,2005,0
1017,2006,0
1017,2007,0
1017,2008,0
1017,2009,0
1017,2010,0
1017,2011,0
1017,2012,0
1017,2013,0
1017,2014,0
1017,2015,0
1017,2016,1
1017,2017,0
1017,2018,0
1017,2019,0
1017,2020,0
1017,2021,0
1019,2000,0
1019,2001,0
1019,2002,1
1019,2003,2
1019,2004,0
1019,2005,0
1019,2006,0
1019,2007,0
1019,2008,2
1019,2009,0
1019,2010,0
1019,2011,0
1019,2012,0
1019,2013,0
1019,2014,0
1019,2015,0
1019,2016,0
1019,2017,6
1019,2018,0
1019,2019,0
1019,2020,1
1019,2021,0
1021,2000,0
1021,2001,0
1021,2002,2
1021,2003,2
1021,2004,0
1021,2005,1
1021,2006,0
1021,2007,0
1021,2008,0
1021,2009,0
1021,2010,0
1021,2011,0
1021,2012,2
1021,2013,0
1021,2014,0
1021,2015,2
1021,2016,1
1021,2017,9
1021,2018,1
1021,2019,0
1021,2020,2
1021,2021,2
1023,2000,0
1023,2001,0
1023,2002,3
1023,2003,1
1023,2004,0
1023,2005,0
1023,2006,7
1023,2007,1
1023,2008,0
1023,2009,0
1023,2010,0
1023,2011,1
1023,2012,6
1023,2013,0
1023,2014,1
1023,2015,1
1023,2016,1
1023,2017,1
1023,2018,1
1023,2019,0
1023,2020,0
1023,2021,0
1025,2000,0
1025,2001,0
1025,2002,0
1025,2003,6
1025,2004,0
1025,2005,0
1025,2006,1
1025,2007,0
1025,2008,0
1025,2009,0
1025,2010,0
1025,2011,0
1025,2012,6
1025,2013,1
1025,2014,0
1025,2015,0
1025,2016,2
1025,2017,2
1025,2018,1
1025,2019,1
1025,2020,0
1025,2021,2
1027,2000,0
1027,2001,0
1027,2002,0
1027,2003,1
1027,2004,0
1027,2005,0
1027,2006,0
1027,2007,0
1027,2008,1
1027,2009,0
1027,2010,0
1027,2011,0
1027,2012,0
1027,2013,1
1027,2014,0
1027,2015,0
1027,2016,0
1027,2017,1
1027,2018,0
1027,2019,0
1027,2020,0
1027,2021,0
1029,2000,0
1029,2001,0
1029,2002,0
1029,2003,3
1029,2004,0
1029,2005,0
1029,2006,0
1029,2007,0
1029,2008,1
1029,2009,0
1029,2010,0
1029,2011,0
1029,2012,0
1029,2013,1
1029,2014,0
1029,2015,0
1029,2016,0
1029,2017,3
1029,2018,0
1029,2019,0
1029,2020,0
1029,2021,0
1031,2000,0
1031,2001,0
1031,2002,2
1031,2003,0
1031,2004,0
1031,2005,0
1031,2006,0
1031,2007,0
1031,2008,0
1031,2009,0
1031,2010,0
1031,2011,0
1031,2012,4
1031,2013,0
1031,2014,0
1031,2015,0
1031,2016,0
1031,2017,1
1031,2018,0
1031,2019,0
1031,2020,0
1031,2021,0
1033,2000,0
1033,2001,0
1033,2002,0
1033,2003,0
1033,2004,0
1033,2005,0
1033,2006,0
1033,2007,0
1033,2008,0
1033,2009,0
1033,2010,0
1033,2011,0
1033,2012,1
1033,2013,0
1033,2014,0
1033,2015,0
1033,2016,0
1033,2017,1
1033,2018,0
1033,2019,0
1033,2020,0
1033,2021,0
1035,2000,0
1035,2001,0
1035,2002,0
1035,2003,2
1035,2004,0
1035,2005,0
1035,2006,0
1035,2007,1
