"fips","county","state","location","year","count"
"01001","Autauga","Alabama","Alabama-Autauga","2000",0
"01001","Autauga","Alabama","Alabama-Autauga","2001",0
"01001","Autauga","Alabama","Alabama-Autauga","2002",1
"01001","Autauga","Alabama","Alabama-Autauga","2003",0
"01001","Autauga","Alabama","Alabama-Autauga","2004",0
"01001","Autauga","Alabama","Alabama-Autauga","2005",0
"01001","Autauga","Alabama","Alabama-Autauga","2006",0
"01001","Autauga","Alabama","Alabama-Autauga","2007",0
"01001","Autauga","Alabama","Alabama-Autauga","2008",0
"01001","Autauga","Alabama","Alabama-Autauga","2009",0
"01001","Autauga","Alabama","Alabama-Autauga","2010",0
"01001","Autauga","Alabama","Alabama-Autauga","2011",0
"01001","Autauga","Alabama","Alabama-Autauga","2012",0
"01001","Autauga","Alabama","Alabama-Autauga","2013",0
"01001","Autauga","Alabama","Alabama-Autauga","2014",0
"01001","Autauga","Alabama","Alabama-Autauga","2015",0
"01001","Autauga","Alabama","Alabama-Autauga","2016",1
"01001","Autauga","Alabama","Alabama-Autauga","2017",3
"01001","Autauga","Alabama","Alabama-Autauga","2018",0
"01001","Autauga","Alabama","Alabama-Autauga","2019",0
"01001","Autauga","Alabama","Alabama-Autauga","2020",1
"01001","Autauga","Alabama","Alabama-Autauga","2021",1
"01003","Baldwin","Alabama","Alabama-Baldwin","2000",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2001",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2002",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2003",4
"01003","Baldwin","Alabama","Alabama-Baldwin","2004",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2005",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2006",1
"01003","Baldwin","Alabama","Alabama-Baldwin","2007",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2008",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2009",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2010",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2011",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2012",4
"01003","Baldwin","Alabama","Alabama-Baldwin","2013",1
"01003","Baldwin","Alabama","Alabama-Baldwin","2014",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2015",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2016",2
"01003","Baldwin","Alabama","Alabama-Baldwin","2017",2
"01003","Baldwin","Alabama","Alabama-Baldwin","2018",1
"01003","Baldwin","Alabama","Alabama-Baldwin","2019",1
"01003","Baldwin","Alabama","Alabama-Baldwin","2020",0
"01003","Baldwin","Alabama","Alabama-Baldwin","2021",2
"01005","Barbour","Alabama","Alabama-Barbour","2000",0
"01005","Barbour","Alabama","Alabama-Barbour","2001",0
"01005","Barbour","Alabama","Alabama-Barbour","2002",0
"01005","Barbour","Alabama","Alabama-Barbour","2003",1
"01005","Barbour","Alabama","Alabama-Barbour","2004",0
