,fips,year,Total Amount,AVG_shifted
0,1001,2000,0.0,
1,1001,2001,0.0,0.0
2,1001,2002,1.6,0.0
3,1001,2003,0.4,1.6
4,1001,2004,0.0,0.4
5,1001,2005,1.2,0.0
6,1001,2006,0.0,1.2
7,1001,2007,2.2,0.0
8,1001,2008,0.0,2.2
9,1001,2009,0.0,0.0
10,1001,2010,0.0,0.0
11,1001,2011,0.0,0.0
12,1001,2012,1.6,0.0
13,1001,2013,0.0,1.6
14,1001,2014,0.0,0.0
15,1001,2015,0.2,0.0
16,1001,2016,0.0,0.2
17,1001,2017,2.4,0.0
18,1001,2018,0.2,2.4
19,1001,2019,0.0,0.2
20,1001,2020,0.2,0.0
21,1001,2021,0.2,0.2
0,1003,2000,0.0,
1,1003,2001,0.0,0.0
2,1003,2002,1.8333333333333333,0.0
3,1003,2003,2.0,1.8333333333333333
4,1003,2004,2.1666666666666665,2.0
5,1003,2005,0.0,2.1666666666666665
6,1003,2006,0.8333333333333334,0.0
7,1003,2007,0.16666666666666666,0.8333333333333334
8,1003,2008,0.5,0.16666666666666666
9,1003,2009,0.0,0.5
10,1003,2010,0.16666666666666666,0.0
11,1003,2011,0.16666666666666666,0.16666666666666666
12,1003,2012,3.0,0.16666666666666666
13,1003,2013,0.0,3.0
14,1003,2014,0.3333333333333333,0.0
15,1003,2015,1.0,0.3333333333333333
16,1003,2016,0.6666666666666666,1.0
17,1003,2017,0.16666666666666666,0.6666666666666666
18,1003,2018,1.5,0.16666666666666666
19,1003,2019,0.3333333333333333,1.5
20,1003,2020,0.3333333333333333,0.3333333333333333
21,1003,2021,0.5,0.3333333333333333
0,1005,2000,0.0,
1,1005,2001,0.0,0.0
2,1005,2002,0.25,0.0
3,1005,2003,0.0,0.25
4,1005,2004,0.0,0.0
5,1005,2005,0.0,0.0
6,1005,2006,0.0,0.0
7,1005,2007,0.125,0.0
8,1005,2008,0.0,0.125
9,1005,2009,0.0,0.0
10,1005,2010,0.0,0.0
11,1005,2011,0.0,0.0
12,1005,2012,0.0,0.0
13,1005,2013,0.0,0.0
14,1005,2014,0.0,0.0
15,1005,2015,0.0,0.0
16,1005,2016,0.0,0.0
17,1005,2017,0.375,0.0
18,1005,2018,0.0,0.375
19,1005,2019,0.0,0.0
20,1005,2020,0.0,0.0
21,1005,2021,0.0,0.0
0,1007,2000,0.0,
1,1007,2001,0.3333333333333333,0.0
2,1007,2002,2.1666666666666665,0.3333333333333333
3,1007,2003,1.5,2.1666666666666665
4,1007,2004,0.3333333333333333,1.5
5,1007,2005,0.0,0.3333333333333333
6,1007,2006,0.5,0.0
7,1007,2007,0.0,0.5
8,1007,2008,1.5,0.0
9,1007,2009,0.0,1.5
10,1007,2010,0.0,0.0
11,1007,2011,0.6666666666666666,0.0
12,1007,2012,1.1666666666666667,0.6666666666666666
13,1007,2013,0.16666666666666666,1.1666666666666667
14,1007,2014,0.0,0.16666666666666666
15,1007,2015,0.0,0.0
16,1007,2016,0.5,0.0
17,1007,2017,2.1666666666666665,0.5
18,1007,2018,0.8333333333333334,2.1666666666666665
19,1007,2019,0.0,0.8333333333333334
20,1007,2020,0.3333333333333333,0.0
21,1007,2021,0.16666666666666666,0.3333333333333333
0,1009,2000,0.0,
1,1009,2001,0.3333333333333333,0.0
2,1009,2002,1.3333333333333333,0.3333333333333333
3,1009,2003,1.1666666666666667,1.3333333333333333
