Fips,Average Humidity,State_Code
1103,78.84%,AL
1133,78.77%,AL
1127,78.75%,AL
1009,78.56%,AL
1043,78.55%,AL
1073,78.49%,AL
1079,78.30%,AL
1011,78.19%,AL
1109,78.08%,AL
1093,77.89%,AL
1041,77.87%,AL
1087,77.86%,AL
1035,77.84%,AL
1053,77.78%,AL
1077,77.49%,AL
1057,77.45%,AL
1117,77.37%,AL
1013,77.30%,AL
1095,77.28%,AL
1101,77.13%,AL
1007,76.98%,AL
1063,76.96%,AL
1131,76.85%,AL
1125,76.80%,AL
1107,76.75%,AL
1047,76.75%,AL
1067,76.75%,AL
1039,76.69%,AL
1059,76.67%,AL
1119,76.59%,AL
1083,76.58%,AL
1033,76.51%,AL
1031,76.48%,AL
1065,76.36%,AL
1045,76.36%,AL
1075,76.33%,AL
1085,76.13%,AL
1081,76.12%,AL
1021,76.08%,AL
1105,76.03%,AL
1055,76.03%,AL
1037,76.02%,AL
1099,75.97%,AL
1001,75.97%,AL
1015,75.89%,AL
1003,75.84%,AL
1005,75.76%,AL
1089,75.75%,AL
1121,75.71%,AL
1069,75.37%,AL
1051,75.36%,AL
1123,75.30%,AL
1091,75.28%,AL
1113,75.22%,AL
1025,75.14%,AL
1019,75.11%,AL
1071,74.98%,AL
1049,74.69%,AL
1027,74.66%,AL
1129,74.60%,AL
1061,74.41%,AL
1023,74.32%,AL
1029,74.27%,AL
1097,74.17%,AL
1017,73.46%,AL
1111,71.85%,AL
2280,83.96%,AK
2220,83.71%,AK
2060,83.17%,AK
2282,82.99%,AK
2050,82.77%,AK
2090,82.13%,AK
2013,82.11%,AK
2100,81.55%,AK
2110,81.24%,AK
2070,81.12%,AK
2280,80.43%,AK
2232,80.41%,AK
2068,80.39%,AK
2240,80.22%,AK
2270,79.76%,AK
2150,79.59%,AK
2130,78.69%,AK
2122,78.46%,AK
2020,77.47%,AK
4015,82.43%,AZ
4005,81.01%,AZ
4013,80.59%,AZ
4009,80.20%,AZ
4023,79.93%,AZ
4003,79.70%,AZ
4021,79.56%,AZ
4011,79.46%,AZ
4019,79.11%,AZ
4007,78.52%,AZ
4027,78.12%,AZ
4001,78.06%,AZ
4017,77.99%,AZ
4025,77.64%,AZ
4012,76.87%,AZ
5021,80.76%,AR
5055,80.53%,AR
5071,79.58%,AR
5031,79.54%,AR
5111,79.25%,AR
5093,79.19%,AR
5035,78.97%,AR
5083,78.50%,AR
5037,78.45%,AR
5075,78.30%,AR
5047,78.26%,AR
5149,78.19%,AR
5115,78.07%,AR
5077,77.91%,AR
5121,77.81%,AR
5137,77.75%,AR
5143,77.73%,AR
5129,77.59%,AR
5033,77.56%,AR
5101,77.50%,AR
5105,77.48%,AR
5119,77.41%,AR
5029,77.38%,AR
5049,77.36%,AR
5131,77.35%,AR
5127,77.35%,AR
5089,77.29%,AR
5141,77.28%,AR
5087,77.24%,AR
5069,77.08%,AR
5005,77.06%,AR
5067,77.03%,AR
5009,77.00%,AR
5147,76.97%,AR
5007,76.95%,AR
5023,76.93%,AR
5135,76.82%,AR
5117,76.53%,AR
5019,76.48%,AR
5063,76.48%,AR
5059,76.46%,AR
5097,76.44%,AR
5015,76.36%,AR
5085,76.35%,AR
5079,76.33%,AR
5113,76.31%,AR
5053,76.29%,AR
5045,76.23%,AR
5125,76.18%,AR
5065,76.10%,AR
5145,76.07%,AR
5039,76.01%,AR
5051,75.93%,AR
5107,75.89%,AR
5095,75.88%,AR
5003,75.75%,AR
5041,75.34%,AR
5001,75.31%,AR
5025,75.17%,AR
5043,75.14%,AR
5109,74.95%,AR
5017,74.75%,AR
5013,74.69%,AR
5103,74.69%,AR
5011,74.37%,AR
5099,74.30%,AR
5139,74.28%,AR
5027,74.12%,AR
5057,73.91%,AR
5073,73.25%,AR
5061,72.51%,AR
5091,71.95%,AR
5081,71.19%,AR
5133,71.08%,AR
6045,88.96%,CA
6075,87.41%,CA
6087,86.24%,CA
6023,86.15%,CA
6053,85.79%,CA
6041,85.41%,CA
6005,84.60%,CA
6097,84.21%,CA
6021,84.11%,CA
6015,83.94%,CA
6017,83.60%,CA
6009,83.53%,CA
6079,83.41%,CA
6081,83.41%,CA
6073,83.22%,CA
6011,83.02%,CA
6033,82.81%,CA
6025,82.55%,CA
6065,82.44%,CA
6055,82.29%,CA
6093,82.15%,CA
6103,82.08%,CA
6007,81.75%,CA
6061,81.51%,CA
6101,81.51%,CA
6085,81.51%,CA
6111,81.47%,CA
6113,81.35%,CA
6115,81.16%,CA
6069,80.85%,CA
6035,80.52%,CA
6031,80.34%,CA
6067,80.29%,CA
6105,80.16%,CA
6003,80.14%,CA
6057,80.11%,CA
6059,79.96%,CA
6099,79.91%,CA
6043,79.84%,CA
6089,79.81%,CA
6109,79.75%,CA
6047,79.48%,CA
6049,79.42%,CA
6037,79.23%,CA
6019,78.93%,CA
6039,78.81%,CA
